225,lifts burning each under eye head
226,appearing homage sight new doth
227,serving sacred looks majesty
228,climbed steep hill heavenly having
229,resembling middle strong age youth
230,adore mortal looks beauty still
231,pilgrimage attending golden
232,highmost pitch car weary
233,reeleth feeble age
234,converted duteous fore eyes
235,tract low another look
236,noon going self
237,unlooked diest unless son
238,8
239,sadly music hear st why
240,sweets delights joy war
241,gladly receiv lov st why
242,annoy receiv pleasure else thine st
243,tuned concord sounds true
244,unions offend married ear thine
245,confounds sweetly chide thee
246,singleness shouldst parts bear
247,string mark husband another sweet
248,ordering mutual strikes each
249,resembling sire happy child mother
250,pleasing sing note
251,speechless seeming song many whose being
252,single sings prove wilt none thee
253,9
254,wet widow eye fear
255,consum single self life st
256,issueless hap ah shalt die
257,makeless wail wife world thee
258,widow weep still world
259,behind form left hast thee
260,private widow keep
261,shape children husband mind eyes
262,unthrift spend world look doth
263,enjoys shifts place still world
264,waste beauty end world hath
265,destroys unused user kept
266,sits toward bosom others love
267,commits murd rous shame himself
268,10
269,deny shame bear st love
270,unprovident self art
271,beloved grant wilt many art
272,evident lov none st
273,possessed murd rous hate art
274,conspire stick gainst self st
275,ruinate roof seeking beauteous
276,repair chief desire
277,change mind thought
278,lodged fairer hate gentle love
279,presence gracious kind
280,hearted least self prove kind
281,self another love thee
282,beauty thine live still thee
283,11
284,wane grow fast shalt st
285,departest thine
286,youngly bestow fresh blood st
287,convertest mayst youth thine call
288,herein increase wisdom lives beauty
289,decay folly cold age without
290,minded cease times
291,threescore year world
292,store nature whom those hath
293,featureless barrenly harsh perish rude
294,endowed gave whom best look thee
295,bounteous cherish bounty gift shouldst
296,carved thereby meant seal thee
297,print copy shouldst die
298,12
299,tells clock count
300,sunk hideous brave night
301,violet prime past behold
302,silvered curls sable white er
303,lofty trees barren leaves
304,erst canopy herd heat
305,sheaves girded summer green
306,bristly bier borne beard white
307,question beauty
308,wastes among
309,beauties sweets forsake themselves since
310,grow fast others die
311,scythe defence gainst
312,breed takes brave save hence thee
313,13
314,self love
315,longer self yours live
316,prepare coming end against
317,semblance sweet give
318,lease beauty hold
319,determination find
320,decease self
321,issue form bear sweet
322,lets decay fall house fair
323,uphold husbandry might honour
324,stormy gusts winter against
325,eternal barren rage cold death
326,unthrifts dear none love
327,son father
328,14
329,judgement stars pluck
330,astronomy methinks
331,luck evil tell
332,dearths seasons plagues quality
333,minutes brief fortune nor tell
334,pointing rain thunder wind each
335,princes
336,predict oft find heaven
337,derive knowledge thine eyes
338,constant stars read art
339,thrive beauty together truth
340,convert store wouldst self
341,prognosticate else thee
342,date doom beauty truth end
343,15
344,consider grows
345,perfection moment holds
346,presenteth huge stage nought shows
347,influence comment whereon secret stars
348,plants increase perceive men
349,cheered checked sky self same even
350,decrease vaunt sap youthful height
351,memory brave wear state
352,inconstant conceit stay
353,sets rich sight youth
354,debateth wasteful decay
355,sullied change youth night
356,war love
357,engraft takes new
358,16
359,mightier wherefore
360,tyrant bloody war
361,fortify decay self
362,rhyme barren blessed means
363,top hours happy stand
364,unset gardens maiden many
365,flowers virtuous living wish bear
366,liker painted counterfeit
367,lines repair life
368,pencil pupil pen
369,inward outward neither worth fair nor
370,self live eyes men
371,keeps self still give
372,skill drawn live sweet
373,17
374,verse believe
375,filled deserts high
376,tomb knows though heaven
377,hides shows parts half life
378,write beauty eyes
379,numbers graces number fresh
380,poet age lies
381,touched touches earthly faces heavenly ne er
382,yellowed papers age
